GSE,GSM,Title,Organism,Library Strategy,Library Source,Library Selection,Platform ID,Instrument Models,Tissue/Characteristics
GSE247712,GSM7899185,RNA_MG_veh,Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL18573,Illumina NextSeq 500,source_name:placenta; tissue:placenta; cell type:Endothelial colony-forming cells; treatment:vehicle 5 days
GSE270170,GSM8335886,"Whole Placenta, patient 856, 5000, rep1",Homo sapiens,RNA-Seq,transcriptomic single cell,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:whole placenta; tissue:whole placenta; gestational age_(weeksdays):8w4d
GSE270170,GSM8335887,"Whole Placenta, patient 856, 10000, rep2",Homo sapiens,RNA-Seq,transcriptomic single cell,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:whole placenta; tissue:whole placenta; gestational age_(weeksdays):8w4d
GSE270170,GSM8335888,"Whole Placenta, patient 860, 5000, rep1",Homo sapiens,RNA-Seq,transcriptomic single cell,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:whole placenta; tissue:whole placenta; gestational age_(weeksdays):6w5d
GSE270170,GSM8335889,"Whole Placenta, patient 860, 10000, rep2",Homo sapiens,RNA-Seq,transcriptomic single cell,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:whole placenta; tissue:whole placenta; gestational age_(weeksdays):6w5d
GSE270170,GSM8335890,"Whole Placenta, patient 861, 10000, rep1",Homo sapiens,RNA-Seq,transcriptomic single cell,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:whole placenta; tissue:whole placenta; gestational age_(weeksdays):12w2d
GSE270170,GSM8335891,"Whole Placenta, patient 866, 10000, rep1",Homo sapiens,RNA-Seq,transcriptomic single cell,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:whole placenta; tissue:whole placenta; gestational age_(weeksdays):13w0d
GSE270170,GSM8335892,"Basal Plate, patient 1276",Homo sapiens,RNA-Seq,transcriptomic single cell,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Basal Plate placenta; tissue:Basal Plate placenta; gestational age_(weeksdays):6w5d
GSE270170,GSM8335893,"Chorionic Plate, patient 1276",Homo sapiens,RNA-Seq,transcriptomic single cell,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:chorionic plate placenta; tissue:chorionic plate placenta; gestational age_(weeksdays):6w5d
GSE270170,GSM8335894,"Basal Plate, patient 1290",Homo sapiens,RNA-Seq,transcriptomic single cell,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Basal Plate placenta; tissue:Basal Plate placenta; gestational age_(weeksdays):6w2d
GSE270170,GSM8335895,"Chorionic Plate, patient 1290",Homo sapiens,RNA-Seq,transcriptomic single cell,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:chorionic plate placenta; tissue:chorionic plate placenta; gestational age_(weeksdays):6w2d
GSE270170,GSM8335896,"TSC, patient 906",Homo sapiens,RNA-Seq,transcriptomic single cell,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:TSC_906; cell line:TSC_906; gestational age_(weeksdays):5w5d
GSE270170,GSM8335897,"TSC, patient 1000",Homo sapiens,RNA-Seq,transcriptomic single cell,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:TSC_1000; cell line:TSC_1000; gestational age_(weeksdays):6w3d
GSE270170,GSM8335898,"TSC, patient 1278",Homo sapiens,RNA-Seq,transcriptomic single cell,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:TSC_1278; cell line:TSC_1278; gestational age_(weeksdays):6w4d
GSE248126,GSM7906198,WT,Mus musculus,RNA-Seq,transcriptomic single cell,cDNA,GPL24247,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; genotype:WT
GSE248126,GSM7906199,Cav1-null,Mus musculus,RNA-Seq,transcriptomic single cell,cDNA,GPL24247,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; genotype:Cav1-null
GSE233557,GSM7430320,"Control Placenta, 11M, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Maternal Placental Compartment; infection:Control; time:immediately after term delivery
GSE233557,GSM7430321,"Control Placenta, 12M, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Maternal Placental Compartment; infection:Control; time:immediately after term delivery
GSE233557,GSM7430322,"Sars-CoV-2 Placenta, 13M, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Maternal Placental Compartment; infection:Sars-CoV-2; time:immediately after term delivery
GSE233557,GSM7430323,"Sars-CoV-2 Placenta, 14M, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Maternal Placental Compartment; infection:Sars-CoV-2; time:immediately after term delivery
GSE233557,GSM7430324,"Sars-CoV-2 Placenta, 16M, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Maternal Placental Compartment; infection:Sars-CoV-2; time:immediately after term delivery
GSE233557,GSM7430325,"Sars-CoV-2 Placenta, 17M, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Maternal Placental Compartment; infection:Sars-CoV-2; time:immediately after term delivery
GSE233557,GSM7430326,"Sars-CoV-2 Placenta, 1M, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Maternal Placental Compartment; infection:Sars-CoV-2; time:immediately after term delivery
GSE233557,GSM7430327,"Control Placenta, 2M, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Maternal Placental Compartment; infection:Control; time:immediately after term delivery
GSE233557,GSM7430328,"Control Placenta, 3M, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Maternal Placental Compartment; infection:Control; time:immediately after term delivery
GSE233557,GSM7430329,"Sars-CoV-2 Placenta, 4M, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Maternal Placental Compartment; infection:Sars-CoV-2; time:immediately after term delivery
GSE233557,GSM7430330,"Control Placenta, 5M, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Maternal Placental Compartment; infection:Control; time:immediately after term delivery
GSE233557,GSM7430331,"Control Placenta, 7M, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Maternal Placental Compartment; infection:Control; time:immediately after term delivery
GSE233557,GSM7430332,"Control Placenta, 8M, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Maternal Placental Compartment; infection:Control; time:immediately after term delivery
GSE233557,GSM7430333,"Control Placenta, 9M, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Maternal Placental Compartment; infection:Control; time:immediately after term delivery
GSE233557,GSM7430334,"Control Placenta, 11F, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Fetal Placental Compartment; infection:Control; time:immediately after term delivery
GSE233557,GSM7430335,"Control Placenta, 12F, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Fetal Placental Compartment; infection:Control; time:immediately after term delivery
GSE233557,GSM7430336,"Sars-CoV-2 Placenta, 14F, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Fetal Placental Compartment; infection:Sars-CoV-2; time:immediately after term delivery
GSE233557,GSM7430337,"Sars-CoV-2 Placenta, 15F, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Fetal Placental Compartment; infection:Sars-CoV-2; time:immediately after term delivery
GSE233557,GSM7430338,"Sars-CoV-2 Placenta, 16F, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Fetal Placental Compartment; infection:Sars-CoV-2; time:immediately after term delivery
GSE233557,GSM7430339,"Sars-CoV-2 Placenta, 17F, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Fetal Placental Compartment; infection:Sars-CoV-2; time:immediately after term delivery
GSE233557,GSM7430340,"Sars-CoV-2 Placenta, 1F, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Fetal Placental Compartment; infection:Sars-CoV-2; time:immediately after term delivery
GSE233557,GSM7430341,"Control Placenta, 2F, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Fetal Placental Compartment; infection:Control; time:immediately after term delivery
GSE233557,GSM7430342,"Control Placenta, 3F, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Fetal Placental Compartment; infection:Control; time:immediately after term delivery
GSE233557,GSM7430343,"Sars-CoV-2 Placenta, 4F, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Fetal Placental Compartment; infection:Sars-CoV-2; time:immediately after term delivery
GSE233557,GSM7430344,"Control Placenta, 5F, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Fetal Placental Compartment; infection:Control; time:immediately after term delivery
GSE233557,GSM7430345,"Control Placenta, 7F, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Fetal Placental Compartment; infection:Control; time:immediately after term delivery
GSE233557,GSM7430346,"Control Placenta, 9F, RNA-seq",Homo sapiens,RNA-Seq,transcriptomic,cDNA,GPL24676,Illumina NovaSeq 6000,source_name:Placenta; tissue:Placenta; compartment:Fetal Placental Compartment; infection:Control; time:immediately after term delivery
GSE205581,GSM6215058,"Placenta, Female, Benzene, rep1 [B5L1]",Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL21273,HiSeq X Ten,source_name:Placenta; strain:C57B/l6; tissue:Placenta; Sex:Female; treatment:Benzene; mother:B5
GSE205581,GSM6215059,"Placenta, Male, Benzene, rep1 [B5L2]",Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL21273,HiSeq X Ten,source_name:Placenta; strain:C57B/l6; tissue:Placenta; Sex:Male; treatment:Benzene; mother:B5
GSE205581,GSM6215060,"Placenta, Male, Benzene, rep2 [B5R1]",Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL21273,HiSeq X Ten,source_name:Placenta; strain:C57B/l6; tissue:Placenta; Sex:Male; treatment:Benzene; mother:B5
GSE205581,GSM6215061,"Placenta, Female, Benzene, rep2 [B5R2]",Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL21273,HiSeq X Ten,source_name:Placenta; strain:C57B/l6; tissue:Placenta; Sex:Female; treatment:Benzene; mother:B5
GSE205581,GSM6215062,"Placenta, Female, Benzene, rep3 [B7L1]",Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL21273,HiSeq X Ten,source_name:Placenta; strain:C57B/l6; tissue:Placenta; Sex:Female; treatment:Benzene; mother:B7
GSE205581,GSM6215063,"Placenta, Male, Benzene, rep3 [B7L2]",Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL21273,HiSeq X Ten,source_name:Placenta; strain:C57B/l6; tissue:Placenta; Sex:Male; treatment:Benzene; mother:B7
GSE205581,GSM6215064,"Placenta, Male, Benzene, rep4 [B7R2]",Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL21273,HiSeq X Ten,source_name:Placenta; strain:C57B/l6; tissue:Placenta; Sex:Male; treatment:Benzene; mother:B7
GSE205581,GSM6215065,"Placenta, Female, Benzene, rep4 [B7R4]",Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL21273,HiSeq X Ten,source_name:Placenta; strain:C57B/l6; tissue:Placenta; Sex:Female; treatment:Benzene; mother:B7
GSE205581,GSM6215066,"Placenta, Female, Control, rep1 [C1L2]",Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL21273,HiSeq X Ten,source_name:Placenta; strain:C57B/l6; tissue:Placenta; Sex:Female; treatment:Control; mother:C1
GSE205581,GSM6215067,"Placenta, Male, Control, rep1 [C1L3]",Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL21273,HiSeq X Ten,source_name:Placenta; strain:C57B/l6; tissue:Placenta; Sex:Male; treatment:Control; mother:C1
GSE205581,GSM6215068,"Placenta, Male, Control, rep2 [C1R1]",Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL21273,HiSeq X Ten,source_name:Placenta; strain:C57B/l6; tissue:Placenta; Sex:Male; treatment:Control; mother:C1
GSE205581,GSM6215069,"Placenta, Female, Control, rep2 [C1R3]",Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL21273,HiSeq X Ten,source_name:Placenta; strain:C57B/l6; tissue:Placenta; Sex:Female; treatment:Control; mother:C1
GSE205581,GSM6215070,"Placenta, Male, Control, rep3 [C2L3]",Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL21273,HiSeq X Ten,source_name:Placenta; strain:C57B/l6; tissue:Placenta; Sex:Male; treatment:Control; mother:C2
GSE205581,GSM6215071,"Placenta, Female, Control, rep3 [C2R1]",Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL21273,HiSeq X Ten,source_name:Placenta; strain:C57B/l6; tissue:Placenta; Sex:Female; treatment:Control; mother:C2
GSE205581,GSM6215072,"Placenta, Male, Control, rep4 [C2R2]",Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL21273,HiSeq X Ten,source_name:Placenta; strain:C57B/l6; tissue:Placenta; Sex:Male; treatment:Control; mother:C2
GSE205581,GSM6215073,"Placenta, Female, Control, rep4 [C2R3]",Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL21273,HiSeq X Ten,source_name:Placenta; strain:C57B/l6; tissue:Placenta; Sex:Female; treatment:Control; mother:C2
GSE205581,GSM6215074,"Decidua, Benzene, rep1 [B2_Decidua_S85_L002]",Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL24247,Illumina NovaSeq 6000,source_name:Decidua; strain:C57B/l6; tissue:Decidua; Sex:n/a; treatment:Benzene; mother:n/a
GSE205581,GSM6215075,"Decidua, Benzene, rep2 [B3_Decidua_S6_L001]",Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL24247,Illumina NovaSeq 6000,source_name:Decidua; strain:C57B/l6; tissue:Decidua; Sex:n/a; treatment:Benzene; mother:n/a
GSE205581,GSM6215076,"Decidua, Control, rep1 [B1_Decidua_S4_L001]",Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL24247,Illumina NovaSeq 6000,source_name:Decidua; strain:C57B/l6; tissue:Decidua; Sex:n/a; treatment:Control; mother:n/a
GSE205581,GSM6215077,"Decidua, Control, rep2 [Th158_Decidua_S2_L001]",Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL24247,Illumina NovaSeq 6000,source_name:Decidua; strain:C57B/l6; tissue:Decidua; Sex:n/a; treatment:Control; mother:n/a
GSE218314,GSM6739283,scRNA_Day_4_human_stem_cell_model_exp48,Homo sapiens,RNA-Seq,transcriptomic single cell,cDNA,GPL30173,NextSeq 2000,source_name:Shef6; cell line:Shef6; cell type:Human ESC
GSE218314,GSM6739284,scRNA_Day_6_human_stem_cell_model_exp48,Homo sapiens,RNA-Seq,transcriptomic single cell,cDNA,GPL30173,NextSeq 2000,source_name:Shef6; cell line:Shef6; cell type:Human ESC
GSE218314,GSM6739285,scRNA_Day_8_human_stem_cell_model_exp48,Homo sapiens,RNA-Seq,transcriptomic single cell,cDNA,GPL30173,NextSeq 2000,source_name:Shef6; cell line:Shef6; cell type:Human ESC
GSE218314,GSM6739286,scRNA_RSeT_Shef6_hESC,Homo sapiens,RNA-Seq,transcriptomic single cell,cDNA,GPL30173,NextSeq 2000,source_name:Shef6; cell line:Shef6; cell type:Human ESC
GSE218314,GSM6739287,scRNA_RSeT_induced_GATA3_AP2y_hESC,Homo sapiens,RNA-Seq,transcriptomic single cell,cDNA,GPL30173,NextSeq 2000,source_name:Shef6; cell line:Shef6; cell type:Human ESC
GSE218314,GSM6739288,scRNA_RSeT_induced_GATA6_SOX17_hESC,Homo sapiens,RNA-Seq,transcriptomic single cell,cDNA,GPL30173,NextSeq 2000,source_name:Shef6; cell line:Shef6; cell type:Human ESC
GSE218314,GSM6739289,scATAC_Day_4_human_stem_cell_model_exp48,Homo sapiens,ATAC-seq,genomic single cell,other,GPL30173,NextSeq 2000,source_name:Shef6; cell line:Shef6; cell type:Human ESC
GSE218314,GSM6739290,scATAC_Day_6_human_stem_cell_model_exp48,Homo sapiens,ATAC-seq,genomic single cell,other,GPL30173,NextSeq 2000,source_name:Shef6; cell line:Shef6; cell type:Human ESC
GSE218314,GSM6739291,scATAC_Day_8_human_stem_cell_model_exp48,Homo sapiens,ATAC-seq,genomic single cell,other,GPL30173,NextSeq 2000,source_name:Shef6; cell line:Shef6; cell type:Human ESC
GSE218314,GSM6739292,scATAC_RSeT_Shef6_hESC,Homo sapiens,ATAC-seq,genomic single cell,other,GPL30173,NextSeq 2000,source_name:Shef6; cell line:Shef6; cell type:Human ESC
GSE218314,GSM6739293,scATAC_RSeT_induced_GATA3_AP2y_hESC,Homo sapiens,ATAC-seq,genomic single cell,other,GPL30173,NextSeq 2000,source_name:Shef6; cell line:Shef6; cell type:Human ESC
GSE218314,GSM6739294,scATAC_RSeT_induced_GATA6_SOX17_hESC,Homo sapiens,ATAC-seq,genomic single cell,other,GPL30173,NextSeq 2000,source_name:Shef6; cell line:Shef6; cell type:Human ESC
GSE217041,GSM6704065,DN-1,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Decidua; genotype:Nlrp3+/+; cell type:Neutrophil; treatment:PBS
GSE217041,GSM6704066,DN-2,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Decidua; genotype:Nlrp3+/+; cell type:Neutrophil; treatment:PBS
GSE217041,GSM6704067,DN-7,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Decidua; genotype:Nlrp3-/-; cell type:Neutrophil; treatment:PBS
GSE217041,GSM6704068,DN-8,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Decidua; genotype:Nlrp3-/-; cell type:Neutrophil; treatment:PBS
GSE217041,GSM6704069,UN-1,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Uterus; genotype:Nlrp3+/+; cell type:Neutrophil; treatment:PBS
GSE217041,GSM6704070,UN-2,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Uterus; genotype:Nlrp3+/+; cell type:Neutrophil; treatment:PBS
GSE217041,GSM6704071,UN-7,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Uterus; genotype:Nlrp3-/-; cell type:Neutrophil; treatment:PBS
GSE217041,GSM6704072,UN-8,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Uterus; genotype:Nlrp3-/-; cell type:Neutrophil; treatment:PBS
GSE217041,GSM6704073,DMA-1,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Decidua; genotype:Nlrp3+/+; cell type:Macrophage; treatment:PBS
GSE217041,GSM6704074,DMA-2,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Decidua; genotype:Nlrp3+/+; cell type:Macrophage; treatment:PBS
GSE217041,GSM6704075,DMA-3,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Decidua; genotype:Nlrp3+/+; cell type:Macrophage; treatment:PBS
GSE217041,GSM6704076,DMA-10,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Decidua; genotype:Nlrp3-/-; cell type:Macrophage; treatment:PBS
GSE217041,GSM6704077,DMA-11,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Decidua; genotype:Nlrp3-/-; cell type:Macrophage; treatment:PBS
GSE217041,GSM6704078,DMA-12,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Decidua; genotype:Nlrp3-/-; cell type:Macrophage; treatment:PBS
GSE217041,GSM6704079,UMA-1,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Uterus; genotype:Nlrp3+/+; cell type:Macrophage; treatment:PBS
GSE217041,GSM6704080,UMA-2,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Uterus; genotype:Nlrp3+/+; cell type:Macrophage; treatment:PBS
GSE217041,GSM6704081,UMA-3,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Uterus; genotype:Nlrp3+/+; cell type:Macrophage; treatment:PBS
GSE217041,GSM6704082,UMA-10,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Uterus; genotype:Nlrp3-/-; cell type:Macrophage; treatment:PBS
GSE217041,GSM6704083,UMA-11,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Uterus; genotype:Nlrp3-/-; cell type:Macrophage; treatment:PBS
GSE217041,GSM6704084,UMA-12,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Uterus; genotype:Nlrp3-/-; cell type:Macrophage; treatment:PBS
GSE217041,GSM6705628,DN-5,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Decidua; genotype:Nlrp3+/+; tissue:Decidua; cell type:Neutrophil; treatment:S100B
GSE217041,GSM6705629,DN-6,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Decidua; genotype:Nlrp3+/+; tissue:Decidua; cell type:Neutrophil; treatment:S100B
GSE217041,GSM6705630,DN-11,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Decidua; genotype:Nlrp3-/-; tissue:Decidua; cell type:Neutrophil; treatment:S100B
GSE217041,GSM6705631,DN-12,Mus musculus,RNA-Seq,transcriptomic,cDNA,GPL28457,DNBSEQ-G400,source_name:Decidua; genotype:Nlrp3-/-; tissue:Decidua; cell type:Neutrophil; treatment:S100B
